Alumno[Nombre:  Nieva Cruz Munoz, Num. de Cuenta: 3210001, Edad: 24, Direccion: PASEO DE SAN FRANCISCO, DURANGO, DURANGO,35015, Semestre: 9, Num. Inscripcion: 378],
Alumno[Nombre:  Naraya Kui Ortega Perez, Num. de Cuenta: 3220002, Edad: 26, Direccion: BLVD ADOLFO RUIZ CORTINES, AGUASCALIENTES, AGUASCALIENTES,20310, Semestre: 8, Num. Inscripcion: 541],
Alumno[Nombre:  Sante Guerrero Perez, Num. de Cuenta: 3230003, Edad: 23, Direccion: AV SAN BERNABE, CIUDAD DE MEXICO, CIUDAD DE MEXICO,10340, Semestre: 6, Num. Inscripcion: 316],
Alumno[Nombre:  Seida Martinez Cruz, Num. de Cuenta: 3220004, Edad: 24, Direccion: SIBERIA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15510, Semestre: 8, Num. Inscripcion: 367],
Alumno[Nombre:  Aloe Herrera Salazar, Num. de Cuenta: 3250005, Edad: 21, Direccion: BONDOJITO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15250, Semestre: 2, Num. Inscripcion: 241],
Alumno[Nombre:  Levin Naraya Diaz Moreno, Num. de Cuenta: 3230006, Edad: 22, Direccion: CALZ ERMITA IZTAPALAPA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9609, Semestre: 5, Num. Inscripcion: 304],
Alumno[Nombre:  Rio Arlena Munoz Velazquez, Num. de Cuenta: 3210007, Edad: 26, Direccion: MIGUEL HIDALGO MZ18, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9360, Semestre: 9, Num. Inscripcion: 387],
Alumno[Nombre:  Hidaia Veda Contreras Garcia, Num. de Cuenta: 3230008, Edad: 20, Direccion: CULTURAS PREHISPANICAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9070, Semestre: 5, Num. Inscripcion: 413],
Alumno[Nombre:  Lartaun Munoz Santiago, Num. de Cuenta: 3230009, Edad: 22, Direccion: AVENIDA CONSTITUCION, BAJA CALIFORNIA, BAJA CALIFORNIA,22000, Semestre: 5, Num. Inscripcion: 425],
Alumno[Nombre:  Veda De la Cruz Salazar, Num. de Cuenta: 3220010, Edad: 24, Direccion: DR GUERRA, BAJA CALIFORNIA, BAJA CALIFORNIA,21480, Semestre: 8, Num. Inscripcion: 264],
Alumno[Nombre:  Kui Moreno Guzman, Num. de Cuenta: 3240011, Edad: 22, Direccion: LIBRAMIENTO A SALTILLO,"	COAHUILA", COAHUILA,27440, Semestre: 4, Num. Inscripcion: 535],
Alumno[Nombre:  Kalani Diaz Aguilar, Num. de Cuenta: 3210012, Edad: 26, Direccion: AV TAPICEROS, BAJA CALIFORNIA, BAJA CALIFORNIA,21010, Semestre: 10, Num. Inscripcion: 448],
Alumno[Nombre:  Aral Ramirez Torres, Num. de Cuenta: 3210013, Edad: 26, Direccion: CARRETERA MEXICALI SAN FELIPE, BAJA CALIFORNIA, BAJA CALIFORNIA,21387, Semestre: 10, Num. Inscripcion: 390],
Alumno[Nombre:  Delvis Imeda Guerrero Luna, Num. de Cuenta: 3210014, Edad: 24, Direccion: AV VISTAS, BAJA CALIFORNIA, BAJA CALIFORNIA,22124, Semestre: 10, Num. Inscripcion: 326],
Alumno[Nombre:  Delvis Bautista Bautista, Num. de Cuenta: 3240015, Edad: 20, Direccion: AVENIDA FRONTERA, BAJA CALIFORNIA, BAJA CALIFORNIA,22010, Semestre: 3, Num. Inscripcion: 488],
Alumno[Nombre:  Lartaun Hernandez Flores, Num. de Cuenta: 3240016, Edad: 20, Direccion: AV IGNACIO ZARAGOZA, BAJA CALIFORNIA, BAJA CALIFORNIA,21620, Semestre: 3, Num. Inscripcion: 393],
Alumno[Nombre: Aitara Vargas Ortega, Num. de Cuenta: 3240017, Edad: 22, Direccion: MIGUEL HIDALGO,"	JALISCO", JALISCO,49120, Semestre: 4, Num. Inscripcion: 413],
Alumno[Nombre:  Vidar Tonino Medina Morales, Num. de Cuenta: 3210018, Edad: 26, Direccion: TICOMAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7369, Semestre: 9, Num. Inscripcion: 434],
Alumno[Nombre:  Nieva Chavez Rivera, Num. de Cuenta: 3240019, Edad: 23, Direccion: AV RIO AMECA, BAJA CALIFORNIA, BAJA CALIFORNIA,21399, Semestre: 4, Num. Inscripcion: 434],
Alumno[Nombre:  Xue Castillo Reyes, Num. de Cuenta: 3220020, Edad: 25, Direccion: CARLOS SAGREDO, AGUASCALIENTES, AGUASCALIENTES,20010, Semestre: 7, Num. Inscripcion: 349],
Alumno[Nombre:  Nagai Moreno Munoz, Num. de Cuenta: 3250021, Edad: 19, Direccion: CARRETERA 45 NORTE, AGUASCALIENTES, AGUASCALIENTES,20460, Semestre: 1, Num. Inscripcion: 942],
Alumno[Nombre:  Hidaia Bautista Sanchez, Num. de Cuenta: 3210022, Edad: 27, Direccion: RET 8 DE FRAY SERVANDO T DE MIER, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15900, Semestre: 10, Num. Inscripcion: 429],
Alumno[Nombre:  Numa Ramos Flores, Num. de Cuenta: 3220023, Edad: 25, Direccion: EMILIO BERLINER, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9800, Semestre: 7, Num. Inscripcion: 109],
Alumno[Nombre:  Urias Gonzalez Reyes, Num. de Cuenta: 3230024, Edad: 23, Direccion: AV PATRIOTISMO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,3920, Semestre: 6, Num. Inscripcion: 344],
Alumno[Nombre:  Lartaun Ortiz Hernandez, Num. de Cuenta: 3210025, Edad: 24, Direccion: CARRETERA AHOME LOS MOCHIS, SINALOA, SINALOA,81318, Semestre: 9, Num. Inscripcion: 378],
Alumno[Nombre:  Kalani Estrada Mendoza, Num. de Cuenta: 3250026, Edad: 19, Direccion: AV TAMAULIPAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1510, Semestre: 2, Num. Inscripcion: 544],
Alumno[Nombre:  Tabara Munoz Estrada, Num. de Cuenta: 3220027, Edad: 24, Direccion: MIGUEL DE CERVANTES SAAVEDRA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,11500, Semestre: 7, Num. Inscripcion: 302],
Alumno[Nombre:  Numa Levin Luna Morales, Num. de Cuenta: 3220028, Edad: 24, Direccion: AV GUERRERO LOCALES 16 Y 26  DEL EDIFICIO IGNACIO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6900, Semestre: 7, Num. Inscripcion: 471],
Alumno[Nombre:  Loira Herrera Herrera, Num. de Cuenta: 3210029, Edad: 27, Direccion: AV CARMEN SERDAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4919, Semestre: 10, Num. Inscripcion: 265],
Alumno[Nombre:  Arlena Reyes Gutierrez, Num. de Cuenta: 3210030, Edad: 26, Direccion: HIDALGO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,2070, Semestre: 10, Num. Inscripcion: 359],
Alumno[Nombre:  Aral Guerrero Juarez, Num. de Cuenta: 3250031, Edad: 19, Direccion: LUIS BLERIOT, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15740, Semestre: 2, Num. Inscripcion: 500],
Alumno[Nombre:  Arlena Ramirez De la Cruz, Num. de Cuenta: 3240032, Edad: 18, Direccion: VICENTE GUERRERO, JALISCO, JALISCO,49000, Semestre: 3, Num. Inscripcion: 257],
Alumno[Nombre:  Lartaun Guzman Sanchez, Num. de Cuenta: 3240033, Edad: 22, Direccion: DR JOSE MARIA VERTIZ, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6780, Semestre: 4, Num. Inscripcion: 380],
Alumno[Nombre:  Larabi Guzman Medina, Num. de Cuenta: 3210034, Edad: 27, Direccion: CARRETERA ESTATAL 45 NTE GPE ZACATECAS, AGUASCALIENTES, AGUASCALIENTES,20467, Semestre: 9, Num. Inscripcion: 199],
